ID_Vehiculo,Marca,Modelo,Año,Color,Combustible,Transmisión,Kilometraje,Precio_USD
VEH-0035,Volkswagen,Tiguan,2020,Negro,Diésel,Manual,127921,37792
VEH-0036,Volkswagen,Jetta,2010,Negro,Eléctrico,Automática,97525,63200
VEH-0037,Toyota,Camry,2024,Blanco,Gasolina,Manual,2599,16868
VEH-0038,Nissan,Versa,2021,Negro,Híbrido,Automática,97986,50510
VEH-0039,Toyota,RAV4,2018,Azul,Híbrido,Automática,183436,16368
VEH-0040,Kia,Sportage,2021,Azul,Eléctrico,Automática,107987,40973
VEH-0041,Nissan,Versa,2016,Gris Plata,Híbrido,Manual,33861,33639
VEH-0042,Honda,Fit,2011,Verde,Eléctrico,Manual,102329,58598
VEH-0043,Ford,F-150,2010,Verde,Eléctrico,Manual,51074,38347
VEH-0044,Mercedes-Benz,GLC,2019,Blanco,Gasolina,Automática,44563,91170
VEH-0045,Hyundai,Elantra,2014,Negro,Gasolina,Automática,121076,53273
VEH-0046,Nissan,X-Trail,2016,Azul,Diésel,Automática,15073,25448
VEH-0047,Ford,F-150,2016,Verde,Eléctrico,Manual,116248,61301
VEH-0048,Honda,Civic,2013,Gris Plata,Híbrido,Automática,27339,54989
VEH-0049,Ford,Ranger,2022,Verde,Híbrido,Automática,38185,46276
VEH-0050,Ford,Explorer,2019,Verde,Híbrido,Automática,46650,32612
VEH-0051,Toyota,RAV4,2016,Blanco,Eléctrico,Automática,180143,59489
VEH-0052,Chevrolet,Captiva,2016,Azul,Gasolina,Automática,176835,35682
VEH-0053,Mercedes-Benz,GLE,2012,Verde,Eléctrico,Automática,182580,68309
VEH-0054,Toyota,Corolla,2017,Verde,Eléctrico,Manual,128224,46821
VEH-0055,Toyota,Camry,2022,Rojo,Gasolina,Manual,106274,17129
VEH-0056,Volkswagen,Polo,2012,Rojo,Gasolina,Automática,130967,33210
VEH-0057,BMW,Series 5,2024,Gris Plata,Diésel,Manual,1254,48766
VEH-0058,Honda,CR-V,2023,Verde,Gasolina,Manual,3861,28255
VEH-0059,Nissan,Frontier,2023,Gris Plata,Gasolina,Automática,855,35263
VEH-0060,Ford,F-150,2019,Negro,Diésel,Manual,154521,55624
VEH-0061,Hyundai,Elantra,2016,Rojo,Gasolina,Automática,40914,41430
VEH-0062,Chevrolet,Tracker,2021,Blanco,Eléctrico,Manual,45581,57967
VEH-0063,BMW,Series 1,2018,Azul,Gasolina,Manual,150039,88828
VEH-0064,Mercedes-Benz,Clase C,2012,Verde,Híbrido,Manual,117104,58851
VEH-0065,Mercedes-Benz,Clase E,2024,Rojo,Gasolina,Manual,810,63893
VEH-0066,Nissan,X-Trail,2020,Gris Plata,Gasolina,Manual,178818,55069
VEH-0067,Kia,Sorento,2017,Negro,Eléctrico,Manual,90627,36664
VEH-0068,Volkswagen,Amarok,2014,Verde,Híbrido,Manual,52918,32814
VEH-0069,BMW,X3,2018,Negro,Gasolina,Automática,164220,76769
VEH-0070,Hyundai,Kona,2024,Blanco,Diésel,Manual,3006,62613
VEH-0071,Volkswagen,Jetta,2020,Verde,Diésel,Manual,17154,28686
VEH-0072,Chevrolet,Onix,2011,Negro,Híbrido,Automática,50745,24021
VEH-0073,Hyundai,Elantra,2024,Verde,Eléctrico,Manual,1035,39371
VEH-0074,Chevrolet,Tracker,2014,Verde,Diésel,Manual,170298,47023
VEH-0075,Ford,Mustang,2018,Gris Plata,Eléctrico,Manual,184061,53836
VEH-0076,Chevrolet,Cruze,2017,Blanco,Gasolina,Manual,193395,19556
VEH-0077,Volkswagen,Golf,2018,Rojo,Diésel,Automática,102321,41962
VEH-0078,Kia,Rio,2010,Gris Plata,Eléctrico,Manual,16933,16675
VEH-0079,Volkswagen,Tiguan,2018,Azul,Gasolina,Manual,90830,52888
VEH-0080,Nissan,Frontier,2013,Verde,Gasolina,Automática,125340,16070
VEH-0081,Hyundai,Elantra,2011,Gris Plata,Diésel,Automática,33322,44375
VEH-0082,BMW,X5,2014,Gris Plata,Híbrido,Manual,32581,43174
VEH-0083,Hyundai,Elantra,2013,Rojo,Diésel,Automática,40627,18020
VEH-0084,Chevrolet,Onix,2015,Rojo,Gasolina,Automática,33490,61312
VEH-0085,Toyota,Hilux,2017,Blanco,Eléctrico,Manual,153887,34624
VEH-0086,BMW,X5,2021,Azul,Gasolina,Manual,127354,69358
VEH-0087,Volkswagen,Tiguan,2024,Verde,Híbrido,Automática,3933,50196
VEH-0088,BMW,Series 1,2022,Azul,Eléctrico,Automática,86882,58763
VEH-0089,Ford,Mustang,2010,Verde,Eléctrico,Manual,198388,52338
VEH-0090,Toyota,Corolla,2021,Blanco,Diésel,Automática,29718,61437
VEH-0091,Ford,Focus,2014,Negro,Gasolina,Automática,107965,21207
VEH-0092,Mercedes-Benz,Clase C,2013,Negro,Diésel,Manual,177888,45993
VEH-0093,Chevrolet,Silverado,2011,Azul,Eléctrico,Manual,80321,21421
VEH-0094,Ford,Focus,2019,Verde,Diésel,Automática,85923,24934
VEH-0095,Ford,Focus,2011,Azul,Eléctrico,Automática,194057,54182
VEH-0096,Kia,Picanto,2018,Negro,Híbrido,Manual,120751,60197
VEH-0097,Kia,Picanto,2018,Negro,Eléctrico,Automática,82824,49417
VEH-0098,Chevrolet,Silverado,2021,Gris Plata,Gasolina,Automática,198022,33589
VEH-0099,BMW,Series 3,2014,Rojo,Eléctrico,Manual,176516,89243
VEH-0100,Ford,Ranger,2021,Azul,Gasolina,Automática,167006,45971
VEH-0101,Volkswagen,Polo,2023,Blanco,Diésel,Manual,3482,31122
VEH-0102,Ford,Ranger,2011,Rojo,Eléctrico,Manual,84203,53995
VEH-0103,Hyundai,Tucson,2023,Rojo,Eléctrico,Manual,1478,45184
VEH-0104,Toyota,Yaris,2014,Gris Plata,Eléctrico,Manual,93679,36480
VEH-0105,Kia,Sportage,2024,Blanco,Eléctrico,Manual,4420,29279
VEH-0106,Volkswagen,Amarok,2022,Blanco,Híbrido,Automática,46716,22829
VEH-0107,Mercedes-Benz,Clase A,2022,Negro,Diésel,Manual,132664,53054
VEH-0108,Honda,Fit,2018,Verde,Híbrido,Automática,11683,23926
VEH-0109,Mercedes-Benz,Clase A,2017,Verde,Eléctrico,Automática,197247,45007
VEH-0110,Toyota,RAV4,2022,Verde,Diésel,Automática,143290,16541
VEH-0111,Chevrolet,Tracker,2015,Negro,Gasolina,Manual,62274,23352
VEH-0112,BMW,Series 3,2017,Gris Plata,Híbrido,Automática,156080,59436
VEH-0113,Toyota,Camry,2013,Negro,Híbrido,Manual,39661,51110
VEH-0114,Ford,F-150,2012,Rojo,Diésel,Manual,154649,26640
VEH-0115,Chevrolet,Cruze,2016,Gris Plata,Híbrido,Automática,48185,16561
VEH-0116,BMW,X3,2017,Blanco,Híbrido,Automática,44857,93558
VEH-0117,Chevrolet,Onix,2011,Blanco,Gasolina,Automática,78833,55764
VEH-0118,Hyundai,Kona,2019,Verde,Diésel,Automática,158584,56719
VEH-0119,Toyota,RAV4,2011,Verde,Diésel,Automática,95613,38325
VEH-0120,Volkswagen,Tiguan,2015,Azul,Diésel,Automática,12531,64786
VEH-0121,Ford,F-150,2012,Gris Plata,Diésel,Manual,175650,26992
VEH-0122,Nissan,Versa,2016,Blanco,Diésel,Automática,164091,20846
VEH-0123,Ford,Mustang,2024,Negro,Diésel,Manual,4875,33682
VEH-0124,Toyota,Hilux,2022,Rojo,Diésel,Manual,128943,54791
VEH-0125,Chevrolet,Cruze,2021,Verde,Eléctrico,Automática,53866,44413
VEH-0126,Volkswagen,Amarok,2024,Negro,Híbrido,Manual,1816,59037
VEH-0127,Honda,HR-V,2014,Blanco,Gasolina,Manual,169065,56834
VEH-0128,Kia,Sportage,2014,Verde,Eléctrico,Automática,99871,61186
VEH-0129,Nissan,X-Trail,2013,Rojo,Gasolina,Manual,14676,63409
VEH-0130,Volkswagen,Golf,2021,Verde,Eléctrico,Manual,120467,43578
VEH-0131,Kia,Sorento,2024,Verde,Diésel,Automática,1116,31301
VEH-0132,Hyundai,Tucson,2010,Gris Plata,Diésel,Manual,37606,31519
VEH-0133,Volkswagen,Amarok,2014,Rojo,Diésel,Automática,109644,38398
VEH-0134,Chevrolet,Tracker,2010,Blanco,Diésel,Automática,64618,43980
VEH-0135,Toyota,Corolla,2022,Blanco,Híbrido,Manual,178640,44822
VEH-0136,Kia,Sportage,2020,Verde,Híbrido,Manual,195692,16640
VEH-0137,BMW,Series 1,2016,Azul,Híbrido,Manual,85218,44481
VEH-0138,Kia,Cerato,2016,Verde,Diésel,Manual,109816,57982
VEH-0139,Honda,HR-V,2011,Gris Plata,Híbrido,Manual,185619,63968
VEH-0140,Hyundai,Tucson,2012,Azul,Híbrido,Automática,152288,46285
VEH-0141,Ford,Mustang,2023,Rojo,Eléctrico,Manual,1324,59237
VEH-0142,Chevrolet,Captiva,2020,Blanco,Eléctrico,Manual,160260,27527
VEH-0143,Kia,Sorento,2021,Azul,Diésel,Automática,78598,62204
VEH-0144,Volkswagen,Jetta,2019,Gris Plata,Gasolina,Automática,9128,60301
VEH-0145,Mercedes-Benz,Clase A,2019,Rojo,Gasolina,Manual,24906,77923
VEH-0146,Kia,Cerato,2011,Negro,Gasolina,Automática,119383,30500
VEH-0147,Chevrolet,Tracker,2015,Negro,Diésel,Automática,48438,49832
VEH-0148,Volkswagen,Golf,2022,Gris Plata,Eléctrico,Automática,74148,33797
VEH-0149,Volkswagen,Amarok,2023,Blanco,Híbrido,Manual,530,36046
VEH-0150,Volkswagen,Jetta,2020,Gris Plata,Diésel,Automática,10640,17830
VEH-0151,Honda,Accord,2015,Azul,Diésel,Manual,101105,60676
VEH-0152,Chevrolet,Onix,2012,Negro,Diésel,Manual,43913,22544
VEH-0153,Chevrolet,Tracker,2010,Verde,Diésel,Manual,42902,63705
VEH-0154,Volkswagen,Golf,2020,Verde,Diésel,Manual,90269,56679
VEH-0155,Chevrolet,Tracker,2016,Blanco,Eléctrico,Manual,136729,64843
VEH-0156,Hyundai,Elantra,2011,Verde,Eléctrico,Automática,86530,35439
VEH-0157,Volkswagen,Golf,2020,Blanco,Híbrido,Manual,3959,37151
VEH-0158,Chevrolet,Cruze,2019,Azul,Gasolina,Automática,60515,15853
VEH-0159,Kia,Sorento,2012,Verde,Diésel,Manual,74545,31002
VEH-0160,Nissan,Versa,2019,Rojo,Diésel,Automática,130725,33958
VEH-0161,Kia,Sportage,2018,Gris Plata,Híbrido,Automática,97509,51242
VEH-0162,Honda,CR-V,2011,Verde,Diésel,Manual,49351,33286
VEH-0163,Volkswagen,Jetta,2022,Negro,Eléctrico,Manual,113250,34150
VEH-0164,Honda,Fit,2018,Blanco,Híbrido,Manual,179380,44129
VEH-0165,Volkswagen,Golf,2018,Verde,Diésel,Automática,14716,36733
VEH-0166,Chevrolet,Cruze,2020,Azul,Diésel,Manual,64118,20165
VEH-0167,Hyundai,Accent,2017,Rojo,Gasolina,Automática,30360,29755
VEH-0168,Hyundai,Elantra,2012,Blanco,Híbrido,Manual,17657,44904
VEH-0169,Toyota,Camry,2016,Negro,Gasolina,Automática,26393,15456
VEH-0170,Nissan,Sentra,2010,Rojo,Gasolina,Automática,30695,48447
VEH-0171,Volkswagen,Golf,2020,Rojo,Eléctrico,Automática,177941,24687
VEH-0172,Nissan,Versa,2021,Gris Plata,Eléctrico,Automática,54472,38764
VEH-0173,Nissan,Qashqai,2014,Verde,Diésel,Manual,125940,41828
VEH-0174,Ford,Ranger,2011,Negro,Diésel,Automática,2338,45022
VEH-0175,Volkswagen,Jetta,2014,Negro,Eléctrico,Manual,37460,34861
VEH-0176,Kia,Rio,2015,Gris Plata,Híbrido,Automática,137635,23590
VEH-0177,Toyota,Corolla,2017,Rojo,Diésel,Manual,168210,54120
VEH-0178,Ford,Mustang,2022,Gris Plata,Gasolina,Automática,185247,21768
VEH-0179,Hyundai,Kona,2019,Rojo,Híbrido,Manual,82675,38540
VEH-0180,Nissan,X-Trail,2013,Rojo,Diésel,Automática,50375,15399
VEH-0181,Hyundai,Kona,2018,Negro,Diésel,Manual,94535,17246
VEH-0182,Chevrolet,Cruze,2014,Gris Plata,Eléctrico,Automática,128207,49219
VEH-0183,Honda,HR-V,2013,Blanco,Gasolina,Automática,101115,28043
VEH-0184,Ford,Explorer,2022,Rojo,Eléctrico,Manual,175981,16102
VEH-0185,Kia,Rio,2015,Verde,Diésel,Automática,194461,43947
VEH-0186,Nissan,Frontier,2021,Rojo,Híbrido,Manual,67133,48328
VEH-0187,Ford,Mustang,2022,Blanco,Eléctrico,Automática,194970,39051
VEH-0188,Hyundai,Kona,2024,Gris Plata,Diésel,Manual,3375,44834
VEH-0189,Mercedes-Benz,Clase A,2016,Blanco,Diésel,Automática,65061,88110
VEH-0190,Volkswagen,Tiguan,2017,Blanco,Eléctrico,Automática,17576,17924
VEH-0191,Hyundai,Santa Fe,2012,Verde,Eléctrico,Automática,57237,18936
VEH-0192,Chevrolet,Captiva,2017,Blanco,Eléctrico,Automática,187218,43256
VEH-0193,Hyundai,Kona,2012,Negro,Eléctrico,Manual,108719,23134
VEH-0194,BMW,Series 5,2016,Verde,Eléctrico,Automática,77098,44206
VEH-0195,Toyota,Camry,2023,Negro,Híbrido,Automática,1712,32553
VEH-0196,Volkswagen,Tiguan,2020,Gris Plata,Gasolina,Automática,117251,43363
VEH-0197,Chevrolet,Silverado,2024,Negro,Gasolina,Manual,2887,46831
VEH-0198,Ford,Ranger,2018,Verde,Híbrido,Automática,171254,42833
VEH-0199,Chevrolet,Onix,2022,Blanco,Gasolina,Manual,38696,57865
VEH-0200,BMW,X3,2019,Blanco,Diésel,Manual,164712,44147
VEH-0201,Ford,Explorer,2011,Gris Plata,Híbrido,Manual,35818,29710
VEH-0202,Honda,Civic,2015,Negro,Diésel,Manual,116186,50893
VEH-0203,Volkswagen,Amarok,2014,Verde,Eléctrico,Automática,45159,20693
VEH-0204,Chevrolet,Captiva,2013,Azul,Eléctrico,Manual,141606,21553
VEH-0205,Ford,Mustang,2023,Rojo,Diésel,Manual,4614,25529
VEH-0206,Kia,Picanto,2017,Negro,Diésel,Automática,77087,52096
VEH-0207,Hyundai,Tucson,2015,Rojo,Eléctrico,Automática,37860,51044
VEH-0208,Kia,Sorento,2018,Rojo,Gasolina,Manual,175930,53709
VEH-0209,Honda,Fit,2020,Rojo,Gasolina,Automática,117094,49975
VEH-0210,Ford,Focus,2013,Verde,Eléctrico,Manual,129006,16850
VEH-0211,Volkswagen,Tiguan,2016,Verde,Gasolina,Manual,172201,37299
VEH-0212,Ford,F-150,2017,Gris Plata,Diésel,Manual,131991,51087
VEH-0213,Volkswagen,Jetta,2017,Blanco,Diésel,Manual,25200,39815
VEH-0214,Kia,Cerato,2019,Azul,Diésel,Automática,57674,21846
VEH-0215,Hyundai,Santa Fe,2010,Blanco,Gasolina,Automática,172844,39360
VEH-0216,Nissan,Frontier,2016,Rojo,Gasolina,Automática,177867,38126
VEH-0217,Toyota,Yaris,2014,Azul,Diésel,Automática,193639,28205
VEH-0218,BMW,Series 3,2014,Negro,Gasolina,Manual,23329,89532
VEH-0219,Ford,F-150,2024,Verde,Híbrido,Automática,3416,37249
VEH-0220,Ford,Mustang,2020,Rojo,Híbrido,Manual,23267,16088
VEH-0221,Nissan,Versa,2015,Verde,Eléctrico,Manual,45733,42602
VEH-0222,Mercedes-Benz,Clase E,2022,Blanco,Eléctrico,Manual,144401,66362
VEH-0223,Mercedes-Benz,Clase E,2011,Negro,Eléctrico,Automática,115746,80518
VEH-0224,BMW,X3,2023,Negro,Híbrido,Manual,984,92481
VEH-0225,Nissan,Frontier,2017,Rojo,Híbrido,Manual,165836,26501
VEH-0226,Toyota,Corolla,2015,Verde,Gasolina,Automática,106172,56371
VEH-0227,Nissan,Qashqai,2024,Negro,Eléctrico,Manual,4088,40515
VEH-0228,BMW,Series 5,2015,Blanco,Híbrido,Manual,195627,68934
VEH-0229,Kia,Sportage,2017,Negro,Eléctrico,Manual,58397,31395
VEH-0230,Volkswagen,Golf,2015,Azul,Diésel,Manual,68144,32983
VEH-0231,Hyundai,Elantra,2023,Verde,Híbrido,Manual,4298,52770
VEH-0232,BMW,Series 3,2014,Azul,Eléctrico,Automática,123800,56512
VEH-0233,Hyundai,Kona,2018,Verde,Híbrido,Automática,128468,59348
VEH-0234,Volkswagen,Polo,2020,Blanco,Gasolina,Manual,43117,57646
VEH-0235,Honda,Civic,2020,Verde,Híbrido,Manual,122437,59606
VEH-0236,Ford,Explorer,2022,Azul,Gasolina,Automática,85295,63311
VEH-0237,Nissan,Sentra,2013,Verde,Eléctrico,Manual,113079,54871
VEH-0238,Toyota,Camry,2020,Blanco,Diésel,Manual,19338,32711
VEH-0239,Mercedes-Benz,GLE,2011,Gris Plata,Diésel,Manual,91265,57436
VEH-0240,Volkswagen,Polo,2017,Rojo,Eléctrico,Automática,193871,49719
VEH-0241,Toyota,Camry,2015,Negro,Eléctrico,Manual,69470,28507
VEH-0242,Kia,Sportage,2023,Negro,Gasolina,Automática,2183,15602
VEH-0243,Ford,Mustang,2012,Verde,Híbrido,Manual,144614,52907
VEH-0244,Hyundai,Tucson,2021,Azul,Diésel,Manual,63061,55342
VEH-0245,Hyundai,Kona,2010,Negro,Diésel,Manual,19363,44330
VEH-0246,Volkswagen,Jetta,2012,Verde,Diésel,Automática,178334,41848
VEH-0247,Mercedes-Benz,Clase E,2013,Azul,Gasolina,Manual,155762,77783
VEH-0248,Nissan,Versa,2016,Verde,Diésel,Automática,13149,45308
VEH-0249,Chevrolet,Cruze,2012,Azul,Eléctrico,Manual,61057,47435
VEH-0250,Mercedes-Benz,Clase E,2018,Negro,Gasolina,Manual,50972,92643
VEH-0251,Chevrolet,Captiva,2012,Azul,Gasolina,Automática,27100,20842
VEH-0252,Nissan,X-Trail,2024,Gris Plata,Eléctrico,Manual,521,22903
VEH-0253,Kia,Picanto,2018,Negro,Diésel,Automática,172078,64298
VEH-0254,Nissan,Frontier,2022,Blanco,Diésel,Automática,60435,21423
VEH-0255,Mercedes-Benz,Clase C,2020,Gris Plata,Diésel,Manual,106819,90077
VEH-0256,Chevrolet,Captiva,2019,Negro,Gasolina,Manual,136703,50890
VEH-0257,Volkswagen,Jetta,2024,Azul,Híbrido,Automática,4344,45850
VEH-0258,Toyota,Camry,2020,Gris Plata,Eléctrico,Manual,15724,52909
VEH-0259,Chevrolet,Onix,2023,Negro,Gasolina,Manual,2212,38838
VEH-0260,Chevrolet,Onix,2021,Rojo,Híbrido,Manual,8187,24971
VEH-0261,Kia,Sportage,2018,Negro,Gasolina,Manual,64681,21855
VEH-0262,Hyundai,Elantra,2020,Rojo,Gasolina,Manual,110712,22831
VEH-0263,Chevrolet,Tracker,2014,Rojo,Eléctrico,Manual,78091,42483
VEH-0264,Mercedes-Benz,Clase A,2023,Azul,Diésel,Manual,4509,91204
VEH-0265,Honda,Accord,2011,Negro,Diésel,Manual,188818,24996
VEH-0266,Volkswagen,Polo,2015,Negro,Diésel,Manual,22679,60253
VEH-0267,Ford,F-150,2010,Gris Plata,Híbrido,Automática,62363,57014
VEH-0268,Ford,Mustang,2022,Verde,Híbrido,Automática,108670,38859
VEH-0269,Volkswagen,Golf,2015,Negro,Gasolina,Automática,141658,43821
VEH-0270,Ford,Ranger,2014,Blanco,Eléctrico,Manual,162316,31397
VEH-0271,Nissan,Frontier,2019,Gris Plata,Eléctrico,Automática,40904,29317
VEH-0272,Volkswagen,Amarok,2023,Rojo,Eléctrico,Automática,1319,49573
VEH-0273,Toyota,Camry,2017,Blanco,Eléctrico,Automática,137085,24746
VEH-0274,BMW,X3,2017,Gris Plata,Gasolina,Automática,118620,92053
VEH-0275,Chevrolet,Silverado,2012,Blanco,Diésel,Manual,157851,28564
VEH-0276,Volkswagen,Polo,2022,Azul,Gasolina,Automática,65840,25227
VEH-0277,Kia,Sorento,2022,Gris Plata,Diésel,Automática,66809,27434
VEH-0278,Hyundai,Kona,2012,Gris Plata,Diésel,Manual,125589,54752
VEH-0279,Ford,F-150,2022,Azul,Eléctrico,Manual,20157,62116
VEH-0280,Toyota,Yaris,2021,Verde,Híbrido,Manual,5171,58022
VEH-0281,Ford,Focus,2011,Gris Plata,Eléctrico,Manual,74530,47416
VEH-0282,Kia,Cerato,2024,Azul,Gasolina,Manual,1930,37579
VEH-0283,Toyota,Yaris,2017,Azul,Gasolina,Manual,159207,53494
VEH-0284,Nissan,Sentra,2019,Blanco,Diésel,Manual,61416,60099
VEH-0285,Nissan,Versa,2024,Blanco,Eléctrico,Manual,4163,29917
VEH-0286,Volkswagen,Polo,2017,Gris Plata,Eléctrico,Automática,96778,20353
VEH-0287,Chevrolet,Onix,2015,Negro,Híbrido,Automática,36027,38081
VEH-0288,Honda,Fit,2011,Negro,Híbrido,Automática,105936,39587
VEH-0289,Mercedes-Benz,Clase E,2010,Blanco,Diésel,Manual,22704,87000
VEH-0290,Honda,HR-V,2023,Rojo,Gasolina,Manual,1733,32096
VEH-0291,Hyundai,Kona,2016,Blanco,Diésel,Manual,66739,34604
VEH-0292,Honda,Civic,2022,Verde,Eléctrico,Manual,195365,43471
VEH-0293,Toyota,Hilux,2011,Verde,Híbrido,Manual,129283,28964
VEH-0294,Nissan,Versa,2017,Verde,Eléctrico,Automática,189068,48090
VEH-0295,Volkswagen,Tiguan,2020,Verde,Diésel,Manual,127963,56076
VEH-0296,Ford,Explorer,2019,Gris Plata,Gasolina,Manual,100477,33521
VEH-0297,Nissan,X-Trail,2024,Rojo,Diésel,Automática,3650,60318
VEH-0298,Toyota,Hilux,2012,Rojo,Híbrido,Automática,135972,50949
VEH-0299,Volkswagen,Amarok,2020,Gris Plata,Diésel,Manual,26592,26206
VEH-0300,Ford,Explorer,2019,Negro,Híbrido,Manual,183492,32828
VEH-0301,BMW,Series 1,2010,Verde,Eléctrico,Automática,1784,60315
VEH-0302,Hyundai,Elantra,2020,Azul,Eléctrico,Manual,92782,53922
VEH-0303,Kia,Cerato,2019,Blanco,Eléctrico,Automática,52052,64964
VEH-0304,Toyota,Yaris,2022,Negro,Diésel,Automática,198548,28509
VEH-0305,Hyundai,Kona,2010,Rojo,Híbrido,Manual,103463,52555
VEH-0306,Volkswagen,Amarok,2014,Negro,Diésel,Manual,37896,59818
VEH-0307,Volkswagen,Golf,2021,Blanco,Diésel,Automática,11689,55854
VEH-0308,Honda,HR-V,2021,Verde,Híbrido,Manual,131854,47578
VEH-0309,Mercedes-Benz,GLC,2021,Azul,Híbrido,Automática,164612,54312
VEH-0310,Kia,Rio,2022,Rojo,Eléctrico,Manual,33223,51629
VEH-0311,Hyundai,Accent,2012,Azul,Diésel,Manual,172530,59735
VEH-0312,Volkswagen,Golf,2017,Blanco,Híbrido,Manual,116787,16199
VEH-0313,Volkswagen,Jetta,2015,Negro,Híbrido,Automática,109591,20077
VEH-0314,BMW,Series 5,2024,Blanco,Eléctrico,Automática,397,84647
VEH-0315,Honda,HR-V,2020,Gris Plata,Diésel,Automática,125502,49781
VEH-0316,Kia,Sportage,2015,Rojo,Eléctrico,Manual,145685,50828
VEH-0317,Mercedes-Benz,Clase A,2022,Negro,Híbrido,Manual,81802,49582
VEH-0318,BMW,Series 5,2021,Blanco,Eléctrico,Manual,157188,73836
VEH-0319,Chevrolet,Onix,2014,Azul,Diésel,Manual,129683,23504
VEH-0320,Mercedes-Benz,GLC,2020,Negro,Gasolina,Automática,193668,53867
VEH-0321,Ford,F-150,2017,Rojo,Diésel,Automática,110899,23420
VEH-0322,Honda,Civic,2013,Rojo,Gasolina,Automática,188847,24997
VEH-0323,Volkswagen,Amarok,2013,Rojo,Eléctrico,Automática,186870,38562
VEH-0324,Honda,HR-V,2020,Verde,Eléctrico,Automática,5236,45943
VEH-0325,Honda,CR-V,2016,Rojo,Diésel,Manual,142151,47316
VEH-0326,Nissan,Sentra,2018,Azul,Híbrido,Automática,118655,16612
VEH-0327,Chevrolet,Onix,2011,Blanco,Híbrido,Automática,61865,53593
VEH-0328,Nissan,Sentra,2021,Negro,Diésel,Manual,69901,64047
VEH-0329,BMW,Series 1,2016,Blanco,Eléctrico,Automática,162502,58478
VEH-0330,BMW,X3,2020,Gris Plata,Gasolina,Manual,195662,46115
VEH-0331,Kia,Picanto,2020,Azul,Híbrido,Automática,183043,33117
VEH-0332,Honda,HR-V,2011,Azul,Gasolina,Manual,111528,19792
VEH-0333,Chevrolet,Onix,2022,Gris Plata,Diésel,Manual,186397,46130
VEH-0334,Toyota,Yaris,2018,Negro,Gasolina,Automática,11759,57538
VEH-0335,Hyundai,Santa Fe,2016,Azul,Híbrido,Manual,36292,48828
VEH-0336,Ford,F-150,2019,Negro,Eléctrico,Manual,166237,35300
VEH-0337,Volkswagen,Jetta,2011,Azul,Híbrido,Manual,89115,53184
VEH-0338,Toyota,Yaris,2022,Gris Plata,Híbrido,Automática,99180,22005
